number,factor_name,entered_at,implementation_set,expression,paper_expression,required_symbols,uses_proxy,proxy_description
1,alpha101_001,2026-07-03T09:55:33+08:00,exact,"(rank_cs(ts_argmax(signed_power(where(pct(c, 1) < 0, ts_std(pct(c, 1), 20), c), 2.0), 5)) - 0.5)","(rank(Ts_ArgMax(SignedPower(((returns < 0) ? stddev(returns, 20) : close), 2.), 5)) - 0.5)",c,False,
2,alpha101_002,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_corr(rank_cs(delta(log(vol), 2)), rank_cs((c - o) / o), 6))","(-1 * correlation(rank(delta(log(volume), 2)), rank(((close - open) / open)), 6))","c,o,vol",False,
3,alpha101_003,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_corr(rank_cs(o), rank_cs(vol), 10))","(-1 * correlation(rank(open), rank(volume), 10))","o,vol",False,
4,alpha101_004,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_rank(rank_cs(l), 9))","(-1 * Ts_Rank(rank(low), 9))",l,False,
5,alpha101_005_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(o - (ts_sum(vwap, 10) / 10)) * (-1 * abs(rank_cs(c - vwap))))","(rank((open - (sum(vwap, 10) / 10))) * (-1 * abs(rank((close - vwap)))))","c,o,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
6,alpha101_006,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_corr(o, vol, 10))","(-1 * correlation(open, volume, 10))","o,vol",False,
7,alpha101_007,2026-07-03T09:55:33+08:00,exact,"where(adv(amt, 20) < vol, ((-1 * ts_rank(abs(delta(c, 7)), 60)) * sign(delta(c, 7))), -1.0)","((adv20 < volume) ? ((-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7))) : (-1 * 1))","c,vol,amt",False,
8,alpha101_008,2026-07-03T09:55:33+08:00,exact,"(-1 * rank_cs((ts_sum(o, 5) * ts_sum(pct(c, 1), 5)) - delay((ts_sum(o, 5) * ts_sum(pct(c, 1), 5)), 10)))","(-1 * rank(((sum(open, 5) * sum(returns, 5)) - delay((sum(open, 5) * sum(returns, 5)), 10))))","c,o",False,
9,alpha101_009,2026-07-03T09:55:33+08:00,exact,"where(0 < ts_min(delta(c, 1), 5), delta(c, 1), where(ts_max(delta(c, 1), 5) < 0, delta(c, 1), (-1 * delta(c, 1))))","((0 < ts_min(delta(close, 1), 5)) ? delta(close, 1) : ((ts_max(delta(close, 1), 5) < 0) ? delta(close, 1) : (-1 * delta(close, 1))))",c,False,
10,alpha101_010,2026-07-03T09:55:33+08:00,exact,"rank_cs(where(0 < ts_min(delta(c, 1), 4), delta(c, 1), where(ts_max(delta(c, 1), 4) < 0, delta(c, 1), (-1 * delta(c, 1)))))","rank(((0 < ts_min(delta(close, 1), 4)) ? delta(close, 1) : ((ts_max(delta(close, 1), 4) < 0) ? delta(close, 1) : (-1 * delta(close, 1)))))",c,False,
11,alpha101_011_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(ts_max(vwap - c, 3)) + rank_cs(ts_min(vwap - c, 3))) * rank_cs(delta(vol, 3)))","((rank(ts_max((vwap - close), 3)) + rank(ts_min((vwap - close), 3))) * rank(delta(volume, 3)))","c,vol,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
12,alpha101_012,2026-07-03T09:55:33+08:00,exact,"(sign(delta(vol, 1)) * (-1 * delta(c, 1)))","(sign(delta(volume, 1)) * (-1 * delta(close, 1)))","c,vol",False,
13,alpha101_013,2026-07-03T09:55:33+08:00,exact,"(-1 * rank_cs(ts_cov(rank_cs(c), rank_cs(vol), 5)))","(-1 * rank(covariance(rank(close), rank(volume), 5)))","c,vol",False,
14,alpha101_014,2026-07-03T09:55:33+08:00,exact,"((-1 * rank_cs(delta(pct(c, 1), 3))) * ts_corr(o, vol, 10))","((-1 * rank(delta(returns, 3))) * correlation(open, volume, 10))","c,o,vol",False,
15,alpha101_015,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_sum(rank_cs(ts_corr(rank_cs(h), rank_cs(vol), 3)), 3))","(-1 * sum(rank(correlation(rank(high), rank(volume), 3)), 3))","h,vol",False,
